Class; Value; Class start; Class end;
1;2;-1.448417544365;-1.402815657854;
2;0;-1.402815657854;-1.357213771343;
3;3;-1.357213771343;-1.311611884832;
4;0;-1.311611884832;-1.266009998322;
5;1;-1.266009998322;-1.220408111811;
6;2;-1.220408111811;-1.174806225300;
7;0;-1.174806225300;-1.129204338789;
8;1;-1.129204338789;-1.083602452278;
9;2;-1.083602452278;-1.038000565767;
10;2;-1.038000565767;-0.992398679256;
11;4;-0.992398679256;-0.946796792746;
12;5;-0.946796792746;-0.901194906235;
13;4;-0.901194906235;-0.855593019724;
14;2;-0.855593019724;-0.809991133213;
15;7;-0.809991133213;-0.764389246702;
16;4;-0.764389246702;-0.718787360191;
17;8;-0.718787360191;-0.673185473680;
18;7;-0.673185473680;-0.627583587170;
19;6;-0.627583587170;-0.581981700659;
20;8;-0.581981700659;-0.536379814148;
21;16;-0.536379814148;-0.490777927637;
22;12;-0.490777927637;-0.445176041126;
23;13;-0.445176041126;-0.399574154615;
24;18;-0.399574154615;-0.353972268105;
25;29;-0.353972268105;-0.308370381594;
26;39;-0.308370381594;-0.262768495083;
27;37;-0.262768495083;-0.217166608572;
28;56;-0.217166608572;-0.171564722061;
29;90;-0.171564722061;-0.125962835550;
30;167;-0.125962835550;-0.080360949039;
31;440;-0.080360949039;-0.034759062529;
32;1094;-0.034759062529;0.010842823982;
33;730;0.010842823982;0.056444710493;
34;277;0.056444710493;0.102046597004;
35;142;0.102046597004;0.147648483515;
36;83;0.147648483515;0.193250370026;
37;63;0.193250370026;0.238852256536;
38;58;0.238852256536;0.284454143047;
39;40;0.284454143047;0.330056029558;
40;44;0.330056029558;0.375657916069;
41;36;0.375657916069;0.421259802580;
42;17;0.421259802580;0.466861689091;
43;21;0.466861689091;0.512463575602;
44;18;0.512463575602;0.558065462112;
45;16;0.558065462112;0.603667348623;
46;16;0.603667348623;0.649269235134;
47;11;0.649269235134;0.694871121645;
48;7;0.694871121645;0.740473008156;
49;6;0.740473008156;0.786074894667;
50;10;0.786074894667;0.831676781178;
51;5;0.831676781178;0.877278667688;
52;1;0.877278667688;0.922880554199;
53;6;0.922880554199;0.968482440710;
54;5;0.968482440710;1.014084327221;
55;1;1.014084327221;1.059686213732;
56;5;1.059686213732;1.105288100243;
57;4;1.105288100243;1.150889986753;
58;1;1.150889986753;1.196491873264;
59;2;1.196491873264;1.242093759775;
60;1;1.242093759775;1.287695646286;
